21:23.479 | INFO     | __main__:download_cvm_zips:39 - ZIP inf_mensal_fii_2021.zip ja existe, pulando download
2026-05-02 11:21:55.458 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - VGIR11: 0 precos inseridos
2026-05-02 11:21:56.329 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - VGIR11: 0 dividendos inseridos
2026-05-02 11:21:56.331 | INFO     | __main__:main:88 - Processando ticker VINO11 ...
2026-05-02 11:21:56.334 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - VINO11: buscando a partir de 2026-05-01
2026-05-02 11:21:56.591 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - VINO11: 0 precos inseridos
2026-05-02 11:21:57.438 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - VINO11: 0 dividendos inseridos
2026-05-02 11:21:57.440 | INFO     | __main__:main:88 - Processando ticker XPML11 ...
2026-05-02 11:21:57.443 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - XPML11: buscando a partir de 2026-05-01
2026-05-02 11:21:57.711 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - XPML11: 0 precos inseridos
2026-05-02 11:21:58.613 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - XPML11: 0 dividendos inseridos
2026-05-02 11:21:58.615 | INFO     | __main__:main:88 - Processando ticker SNEL11 ...
2026-05-02 11:21:58.617 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:143 - SNEL11: buscando a partir de 2026-05-01
2026-05-02 11:21:58.943 | INFO     | src.fii_analysis.data.ingestion:load_prices_yfinance:184 - SNEL11: 0 precos inseridos
2026-05-02 11:21:59.550 | INFO     | src.fii_analysis.data.ingestion:load_dividends_yfinance:223 - SNEL11: 0 dividendos inseridos
2026-05-02 11:21:59.551 | INFO     | __main__:main:98 - --- Etapa 5: Focus Selic (BCB ExpectativasMercadoSelic) ---
2026-05-02 11:22:00.059 | INFO     | __main__:main:101 - Focus: status=OK | 3m=0.135 | 6m=0.13 | 12m=0.12 | data=2026-04-24
2026-05-02 11:22:00.060 | INFO     | __main__:main:112 - --- Etapa 6: Snapshot diario (universo curado) ---
